MsgID.STATE,1520866747.2756999,False,False
MsgID.LOCAL_VELOCITY,1520866764.4341350,0.0000000,0.0000000,0.0000000
MsgID.STATE,1520866764.4346352,True,True
MsgID.GLOBAL_HOME,1520866764.4346352,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,1520866764.4346352,0.0012118,-0.1178091,-0.0734174
MsgID.LOCAL_VELOCITY,1520866764.4346352,0.0000186,-0.0000051,0.0000102
MsgID.GLOBAL_POSITION,1520866764.4351349,-122.3974513,37.7924800,0.0730000
MsgID.LOCAL_VELOCITY,1520866764.4351349,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,1520866764.4351349,-122.3974494,37.7924797,0.0800000
MsgID.LOCAL_VELOCITY,1520866764.4351349,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4351349,-0.0259417,0.0520716,-0.0801069
MsgID.LOCAL_VELOCITY,1520866764.4351349,-0.0000079,-0.0000043,0.0000067
MsgID.GLOBAL_POSITION,1520866764.4356346,-122.3974500,37.7924785,0.0840000
MsgID.LOCAL_VELOCITY,1520866764.4356346,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4356346,-0.1642395,-0.0004125,-0.0841088
MsgID.LOCAL_VELOCITY,1520866764.4356346,0.0000016,-0.0000029,0.0000171
MsgID.GLOBAL_POSITION,1520866764.4356346,-122.3974488,37.7924787,0.0900000
MsgID.LOCAL_VELOCITY,1520866764.4356346,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4356346,-0.1356892,0.0984296,-0.0907265
MsgID.LOCAL_VELOCITY,1520866764.4356346,0.0000236,-0.0000090,0.0000191
MsgID.STATE,1520866764.4361355,True,True
MsgID.GLOBAL_HOME,1520866764.4361355,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1520866764.4361355,-122.3974498,37.7924806,0.1060000
MsgID.LOCAL_VELOCITY,1520866764.4361355,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4366355,0.0675190,0.0099097,-0.1067746
MsgID.LOCAL_VELOCITY,1520866764.4366355,-0.0000109,-0.0000133,0.0000092
MsgID.GLOBAL_POSITION,1520866764.4366355,-122.3974514,37.7924800,0.1280000
MsgID.LOCAL_VELOCITY,1520866764.4366355,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4366355,0.0012212,-0.1259927,-0.1283790
MsgID.LOCAL_VELOCITY,1520866764.4366355,-0.0000153,-0.0000085,0.0000169
MsgID.GLOBAL_POSITION,1520866764.4371362,-122.3974488,37.7924794,0.1580000
MsgID.LOCAL_VELOCITY,1520866764.4371362,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4371362,-0.0618258,0.1042588,-0.1588410
MsgID.LOCAL_VELOCITY,1520866764.4371362,0.0000098,-0.0000022,0.0000228
MsgID.GLOBAL_POSITION,1520866764.4371362,-122.3974506,37.7924810,0.1860000
MsgID.LOCAL_VELOCITY,1520866764.4371362,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4371362,0.1155818,-0.0577012,-0.1865530
MsgID.LOCAL_VELOCITY,1520866764.4371362,0.0000077,-0.0000190,0.0000217
MsgID.STATE,1520866764.4376361,True,True
MsgID.GLOBAL_HOME,1520866764.4376361,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1520866764.4376361,-122.3974512,37.7924814,0.2130000
MsgID.LOCAL_VELOCITY,1520866764.4376361,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520866764.4381368,0.1611539,-0.1145019,-0.2138817
MsgID.LOCAL_VELOCITY,1520866764.4381368,-0.0000393,-0.0000182,0.0000100
MsgID.GLOBAL_POSITION,1520866764.4381368,-122.3974492,37.7924811,0.2290000
MsgID.LOCAL_VELOCITY,1520866764.4381368,0.0000000,0.0000000,0.0000000
